NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
COMMUNITY HEALTHCARE-SBSTNC ABUSE SVCS,628 CENTER ST,CHICOPEE,MA,1013,1589.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
STEFANIK MEMORIAL SCHOOL,720 MEADOW ST,CHICOPEE,MA,1013,1801.0,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
WILLIMANSETT NURSING HOME CENTER EAST,11 SAINT ANTHONY ST,CHICOPEE,MA,1013,2141.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,82.0,,,,Healthcare
OUR LADY OF THE ELMS COLLEGE,291 SPRINGFIELD ST,CHICOPEE,MA,1013,2837.0,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,501 TO 1000,,,,,Educational Instituions
CHICOPEE SENIOR CENTER,7 VALLEY VIEW CT,CHICOPEE,MA,1020,1132.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LAMBERT-LAVOIE MEMORIAL SCHOOL,91 KENDALL ST,CHICOPEE,MA,1020,1601.0,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
CHICOPEE PUBLIC SCHOOL DISTRICT,180 BROADWAY ST,CHICOPEE,MA,1020,2638.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
THE ARBORS KIDS CHILDCARE,999 MEMORIAL DR,CHICOPEE,MA,1020,2978.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BIRCH MANOR REHAB-SKILLED NURSING CENTER,44 NEW LOMBARD RD,CHICOPEE,MA,1020,4857.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65.0,,,,Healthcare
WESTOVER JOB CORPS RESIDENTIAL PROGRAM,103 JOHNSON RD,CHICOPEE,MA,1022,1063.0,25013,HAMPDEN,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,,PREMIER,,,Healthcare
BOWIE MEMORIAL SCHOOL,80 DARE WAY,CHICOPEE,MA,1022,1038.0,25013,HAMPDEN,,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
THE ACADEMY AT SWIFT RIVER RSDNTL TRTMNT,151 SOUTH ST,CUMMINGTON,MA,1026,9501.0,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTHEAST CENTER FOR YOUTH AND FAMILIES,203 EAST ST,EASTHAMPTON,MA,1027,1234.0,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SUPERVISORY UNION 66,19 STAGE RD,WESTHAMPTON,MA,1027,9655.0,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
EAST LONGMEADOW COUNCIL ON AGING SR CTR,328 N MAIN ST,EAST LONGMEADOW,MA,1028,1813.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
EAST LONGMEADOW SKILLED NURSING CTR,305 MAPLE ST,EAST LONGMEADOW,MA,1028,2765.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,113.0,PREMIER,,,Healthcare
REDSTONE REHAB AND NURSING CENTER,135 BENTON DR,EAST LONGMEADOW,MA,1028,3117.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,216.0,PREMIER,,,Healthcare
AGAWAM COUNSELING CENTER-SBSTNC ABUSE,PO BOX 84,FEEDING HILLS,MA,1030,84.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
AGAWAM PUBLIC SCHOOL DISTRICT,1305 SPRINGFIELD ST,FEEDING HILLS,MA,1030,2180.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
GRANBY PUBLIC SCHOOL DISTRICT,387 E STATE ST,GRANBY,MA,1033,9601.0,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
SUNBRIDGE CARE AND REHAB-HADLEY,PO BOX 720,HADLEY,MA,1035,720.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152.0,,,,Healthcare
HAMPDEN SENIOR CENTER,104 ALLEN ST,HAMPDEN,MA,1036,9516.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HOLYOKE COMMUNITY COLLEGE,303 HOMESTEAD AVE,HOLYOKE,MA,1040,1091.0,25013,HAMPDEN,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,,Educational Instituions
HOLYOKE SOLDIERS HOME,110 CHERRY ST,HOLYOKE,MA,1040,7002.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,250.0,PREMIER,,,Healthcare
HOLYOKE REHABILITATION CENTER,260 EASTHAMPTON RD,HOLYOKE,MA,1040,1213.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,157.0,PREMIER,,,Healthcare
LOOMIS HOUSE NURSING RETIREMENT CENTER,298 JARVIS AVE,HOLYOKE,MA,1040,1288.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87.0,,,,Healthcare
HOLYOKE HOSPITAL TRANSITIONAL CARE CTR,575 BEECH ST,HOLYOKE,MA,1040,2223.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
HOLYOKE MEDICAL CENTER,575 BEECH ST,HOLYOKE,MA,1040,2223.0,25013,HAMPDEN,1122.0,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,75.7,HPPI-HealthCare Purchasing Partners International,Amerinet Inc,"27,647",Healthcare
MONT MARIE HEALTH CARE CENTER INC,34 LOWER WESTFIELD RD,HOLYOKE,MA,1040,2749.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,84.0,,,,Healthcare
MOUNT SAINT VINCENT NURSING HOME,35 HOLY FAMILY RD,HOLYOKE,MA,1040,2701.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,122.0,,,,Healthcare
RENAISSANCE MANOR ON CABOT,279 CABOT ST,HOLYOKE,MA,1040,3139.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,32.0,,,,Healthcare
GANDARA RESIDENTIAL SVC WOMEN-AODA SVCS,507 APPLETON ST,HOLYOKE,MA,1040,3210.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HOLYOKE CNCL ON AGING SENIOR CTR,310 APPLETON ST,HOLYOKE,MA,1040,4907.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HOLYOKE CITY SCHOOL DISTRICT,57 SUFFOLK ST,HOLYOKE,MA,1040,5015.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
MSPCC FAMILY COUNSELING CTR,113 HAMPDEN ST,HOLYOKE,MA,1040,5105.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SISTERS OF PROVIDENCE-SNF,1233 MAIN ST,HOLYOKE,MA,1040,5381.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
PROVIDENCE BEHAVIORAL HEALTH,1233 MAIN ST,HOLYOKE,MA,1040,5381.0,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Healthcare
BOYS AND GIRLS CLUB AFTER SCHOOL,PO BOX 6256,HOLYOKE,MA,1041,6256.0,25013,HAMPDEN,,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
GATEWAY REGIONAL SCHOOL DISTRICT,12 LITTLEVILLE RD,HUNTINGTON,MA,1050,9761.0,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
HAMPSHIRE CARE,PO BOX 313,LEEDS,MA,1053,313.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,91.0,,,,Healthcare
LEEDS ELEMENTARY SCHOOL,20 FLORENCE ST,LEEDS,MA,1053,5305.0,25015,HAMPSHIRE,8000.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
VA MEDICAL CENTER-NURSING HOME CARE UNIT,421 N MAIN ST,LEEDS,MA,1053,9764.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0,,,,Healthcare
LINDA MANOR EXTENDED CARE FACILITY,349 HAYDENVILLE RD,LEEDS,MA,1053,9767.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,114.0,PREMIER,,,Healthcare
HAMPDEN CO HOUSE CORRECTION-SHERIFF DEPT,627 RANDALL RD,LUDLOW,MA,1056,1085.0,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
HAMPDEN COUNTY PRE-RELEASE JAIL,325 ALABAMA ST,LUDLOW,MA,1056,1089.0,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
LUDLOW COMM CTR-RANDALL BOYS-GIRLS CLUB,91 CLAUDIAS WAY,LUDLOW,MA,1056,3101.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
LUDLOW COUNCIL ON AGING SENIOR CENTER,37 CHESTNUT ST,LUDLOW,MA,1056,3404.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LUDLOW PUBLIC SCHOOL DISTRICT,63 CHESTNUT ST,LUDLOW,MA,1056,3404.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
HEALTHSOUTH REHAB HOSPITAL WESTERN MA,14 CHESTNUT PL,LUDLOW,MA,1056,3476.0,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,Foodbuy,,,Healthcare
MONSON SCHOOL DISTRICT,PO BOX 159,MONSON,MA,1057,159.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
MONSON COUNCIL ON AGING SENIOR CENTER,106 MAIN ST,MONSON,MA,1057,1318.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NORTHAMPTON REHAB AND NURSING CTR,737 BRIDGE RD,NORTHAMPTON,MA,1060,1526.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0,,,,Healthcare
SMITH VOC AND AGRICULTURAL HIGH SCHOOL,80 LOCUST ST,NORTHAMPTON,MA,1060,2052.0,25015,HAMPSHIRE,8000.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
CLARKE SCHOOL FOR THE DEAF,47 ROUND HILL RD,NORTHAMPTON,MA,1060,2123.0,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CALVIN COOLIDGE NURSING AND REHAB CENTER,548 ELM ST,NORTHAMPTON,MA,1060,2832.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102.0,PREMIER,,,Healthcare
PEOPLES INSTITUTE AFTER SCHOOL PROGRAM,38 GOTHIC ST,NORTHAMPTON,MA,1060,3018.0,25015,HAMPSHIRE,8000.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
HAIRSTON HOUSE SUBSTANCE ABUSE TREATMENT,25 GRAVES AVE,NORTHAMPTON,MA,1060,3293.0,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTH CTR FOR CHILDREN/FAMILIES,78 POMEROY TER,NORTHAMPTON,MA,1060,3378.0,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SERVICENET INC-SUBSTANCE ABUSE TREATMENT,129 KING ST,NORTHAMPTON,MA,1060,3258.0,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
COOLEY DICKINSON HOSPITAL,PO BOX 5001,NORTHAMPTON,MA,1061,5001.0,25015,HAMPSHIRE,,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,84.1,Novation,VHA Inc,"30,687",Healthcare
HAMPSHIRE COUNTY JAIL-SHERIFF DEPARTMENT,PO BOX 7000,NORTHAMPTON,MA,1061,7000.0,25015,HAMPSHIRE,,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
CDH-OUTPATIENT BEHAVORIAL HLTH SVCS-AODA,10 MAIN ST,FLORENCE,MA,1062,3158.0,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SMITH COLLEGE,98 GREEN ST,NORTHAMPTON,MA,1063,1.0,25015,HAMPSHIRE,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,,,,,Educational Instituions
WING MEMORIAL HOSPITAL AND MEDICAL CTR,40 WRIGHT ST,PALMER,MA,1069,1138.0,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Healthcare
PALMER HOUSE CARE CENTER,250 SHEARER ST,PALMER,MA,1069,1428.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,58.0,,,,Healthcare
PALMER COA SENIOR CENTER,1029 CENTRAL ST,PALMER,MA,1069,1701.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PALMER PUBLIC SCHOOL DISTRICT,24 CONVERSE ST,PALMER,MA,1069,1786.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
MOUNT HOLYOKE COLLEGE,50 COLLEGE ST,SOUTH HADLEY,MA,1075,1423.0,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,,,,,Educational Instituions
SOUTH HADLEY CNCL ON AG SENIOR CENTER,45 DAYTON ST,SOUTH HADLEY,MA,1075,1924.0,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WINGATE AT SOUTH HADLEY,573 GRANBY RD,SOUTH HADLEY,MA,1075,2122.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119.0,,,,Healthcare
OPEN ARMS CHILDCARE CENTER,PO BOX 1107,SOUTHWICK,MA,1077,1107.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SOUTHWICK-TOLLAND REGIONAL SCHOOL DIST,86 POWDER MILL RD,SOUTHWICK,MA,1077,9257.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
WARE SCHOOL DISTRICT,PO BOX 240,WARE,MA,1082,240.0,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
WARE SENIOR CENTER,11 CHURCH ST,WARE,MA,1082,1239.0,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
VALLEY HUMAN SERVICES-SUBSTANCE ABUSE,96 SOUTH ST,WARE,MA,1082,1616.0,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BAYSTATE MARY LANE HOSPITAL,85 SOUTH ST,WARE,MA,1082,1625.0,25015,HAMPSHIRE,8000.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Healthcare
QUABOAG REGIONAL SCHOOL DISTRICT,PO BOX 1538,WARREN,MA,1083,1538.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
